[22:42:22.006] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:22.016] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:22.037] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:22.057] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:22.067] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:22.087] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:22.106] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:22.117] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:22.137] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:22.157] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:22.167] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.588] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.607] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.617] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.637] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.657] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.667] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.686] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.707] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.717] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.736] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.757] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.767] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.787] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.807] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.817] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.837] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.857] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.867] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.886] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.906] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.916] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.937] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.956] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.966] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:23.986] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:24.396] [INFO] [ENGINE] Monolith shutting down
